,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,84,0.0841623959230615,0.9960549645390072,0.9998891843971632,4.6611418874957895,0.1230221518987341,0.2780854430379746,10.000586986541748,False,,,84,97b33_00000,b69f91b23f494ecca0bb19262d28b9ea,2022-04-06_11-59-34,1649260774,841.4526708126068,3940972,guanyush-RTX3060,10.70.2.70,841.4526708126068,0,84,64,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_11-45-32"
1,100,1.6958680351575215,0.6053602430555556,0.8022352430555555,4.006210637092591,0.0976447610294117,0.2427159926470588,8.665828227996826,False,,,100,97b33_00001,0ae903e9a53348159e334958517bfa24,2022-04-06_12-16-31,1649261791,853.9859013557434,3940976,guanyush-RTX3060,10.70.2.70,853.9859013557434,0,100,256,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_11-45-32"
2,70,0.0241419406449224,0.9981161347517732,1.0,4.756546283070045,0.1530854430379747,0.3105221518987341,9.803478956222534,False,,,70,97b33_00002,cefe9657d5834fa1bed17426b3023718,2022-04-06_12-28-05,1649262485,690.6788921356201,3940977,guanyush-RTX3060,10.70.2.70,690.6788921356201,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_12-02-17"
3,100,0.0129514837301232,0.9992404513888888,1.0,4.926602125167847,0.1245863970588235,0.2714154411764706,8.438210248947144,False,,,100,97b33_00003,6a31baf4914c4a4f94615de9fa3e9f82,2022-04-06_12-47-03,1649263623,840.7889752388,3940969,guanyush-RTX3060,10.70.2.70,840.7889752388,0,100,256,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_12-16-34"
4,99,0.3282217750629634,0.9056737588652484,0.9862810283687944,5.388537950153593,0.1309335443037974,0.2887658227848101,9.82279920578003,False,,,99,97b33_00004,daaea663725d4d24b1e39704556c92a7,2022-04-06_13-03-24,1649264604,977.9774758815764,3940966,guanyush-RTX3060,10.70.2.70,977.9774758815764,0,99,64,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_12-33-02"
5,96,0.0157498774222201,0.9988064236111112,1.0,4.618967080116272,0.1320082720588235,0.2810431985294118,8.387497663497925,False,,,96,97b33_00005,2974c79fb3c44924ae33bd085e7668f2,2022-04-06_13-17-08,1649265428,810.3883092403412,3940974,guanyush-RTX3060,10.70.2.70,810.3883092403412,0,96,256,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_12-47-06"
6,99,1.3722612781727568,0.5908244680851065,0.8342198581560284,4.095944377440441,0.1412183544303797,0.3314873417721519,10.160293102264404,False,,,99,97b33_00006,904355051ccc40acab3d52fc69bca6a9,2022-04-06_13-34-33,1649266473,1008.7352812290192,3940967,guanyush-RTX3060,10.70.2.70,1008.7352812290192,0,99,64,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_13-03-37"
7,93,0.1477704753892289,0.9666449652777778,0.9972873263888888,4.977784276008606,0.1417279411764705,0.3310776654411764,8.484638929367065,False,,,93,97b33_00007,5ad934feea53462db95539ba0b9eb670,2022-04-06_13-48-00,1649267280,792.9346325397491,3940981,guanyush-RTX3060,10.70.2.70,792.9346325397491,0,93,256,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_13-17-44"
8,94,3.927045333470013,0.0752437943262411,0.1896498226950354,3.996207831781122,0.066257911392405,0.1722705696202531,10.140994310379028,False,,,94,97b33_00008,dec005d7d2564482a84758a9e985d04f,2022-04-06_14-05-01,1649268301,959.3167629241944,3940980,guanyush-RTX3060,10.70.2.70,959.3167629241944,0,94,64,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_13-34-46"
9,97,3.6436596976386175,0.1050130208333333,0.2510199652777778,3.860894513130188,0.0788028492647058,0.1942784926470588,8.481192111968994,False,,,97,97b33_00009,a85b1abcf26f410fa40e9e6398635823,2022-04-06_14-19-55,1649269195,828.0439496040344,3940975,guanyush-RTX3060,10.70.2.70,828.0439496040344,0,97,256,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_13-49-01"
