,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,91,0.0298382766901495,0.9984929078014184,1.0,2.731544654580611,0.4333465189873418,0.6323180379746836,12.865447998046877,False,,,91,407a7_00000,21e528772c0d43de84badd6e9c4b3d1c,2022-04-07_15-29-14,1649359754,1183.2465500831604,1517,Cdots-Grand-Mesa,172.28.171.47,1183.2465500831604,0,91,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_15-09-30"
1,95,0.8498370680544112,0.7985026041666666,0.9389539930555556,2.730535018444061,0.3424402573529411,0.5521369485294118,5.19356632232666,False,,,95,407a7_00001,977859909dbd457a851cef8f379d068e,2022-04-07_15-39-40,1649360380,502.12065958976746,1518,Cdots-Grand-Mesa,172.28.171.47,502.12065958976746,0,95,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_15-09-31"
2,80,0.0096242478718413,1.0,1.0,2.207962339437461,0.5112737341772152,0.7124208860759493,12.596526861190796,False,,,80,407a7_00002,ce09817cadd249c2980865ebcb7e6708,2022-04-07_15-57-11,1649361431,1019.5955889225006,1513,Cdots-Grand-Mesa,172.28.171.47,1019.5955889225006,0,80,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_15-31-15"
3,95,0.0093268022820767,0.9997829861111112,1.0,2.614203894138336,0.4613625919117646,0.6673483455882353,5.240357398986816,False,,,95,407a7_00003,4d02eb6668e246758955eccc646e556a,2022-04-07_16-09-52,1649362192,504.3528094291687,1519,Cdots-Grand-Mesa,172.28.171.47,504.3528094291687,0,95,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_15-40-09"
4,92,0.2531555897377907,0.926640070921986,0.9895833333333334,2.644049727464024,0.4602452531645569,0.6730617088607594,12.334436655044556,False,,,92,407a7_00004,3c84fce5f5f64b658d7d477cfd453341,2022-04-07_16-29-53,1649363393,1170.8963055610657,1506,Cdots-Grand-Mesa,172.28.171.47,1170.8963055610657,0,92,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_16-01-27"
5,100,0.0118934434786852,0.9998914930555556,1.0,2.222476834058761,0.4810891544117647,0.6744485294117647,5.450517416000366,False,,,100,407a7_00005,0f63da31c7bc4bc8bfee91fe38332a55,2022-04-07_16-40-29,1649364029,530.437716960907,1516,Cdots-Grand-Mesa,172.28.171.47,530.437716960907,0,100,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_16-10-21"
6,84,0.2720893633598131,0.9194592198581562,0.9913563829787234,2.6269537768786466,0.470134493670886,0.6853243670886076,16.979087591171265,False,,,84,407a7_00006,3ffa29058b0f44e3ae666d75464afff0,2022-04-07_17-03-44,1649365424,1391.358856201172,1512,Cdots-Grand-Mesa,172.28.171.47,1391.358856201172,0,84,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-07_16-31-38"
7,87,0.0515571626213689,0.9914279513888888,0.9997829861111112,2.5393645644187925,0.4838579963235294,0.6908547794117647,5.356179714202881,False,,,87,407a7_00007,1f7a724721be40e3acba45ff57eb705f,2022-04-07_17-16-10,1649366170,475.37389850616455,1515,Cdots-Grand-Mesa,172.28.171.47,475.37389850616455,0,87,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-07_16-40-32"
8,99,2.897878406741095,0.2677526595744681,0.468395390070922,3.1814931857435007,0.2193433544303797,0.4020965189873418,16.768125295639038,False,,,99,407a7_00008,36c6456f7bc04859ba35ba48a217b6ce,2022-04-07_17-44-45,1649367885,1641.8360505104065,1510,Cdots-Grand-Mesa,172.28.171.47,1641.8360505104065,0,99,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-07_17-08-13"
9,93,2.018206377824148,0.4421006944444444,0.6851779513888889,2.72302839756012,0.3245404411764706,0.5279296875,5.333742618560791,False,,,93,407a7_00009,01564086b56347b2ad5d8db166d00834,2022-04-07_17-53-29,1649368409,503.01155710220337,1509,Cdots-Grand-Mesa,172.28.171.47,503.01155710220337,0,93,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-07_17-17-23"
