,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,10,2.9145117144212653,0.2713209219858156,0.4768617021276595,3.2040133989309965,0.2183544303797468,0.4058544303797468,12.85253882408142,False,,,10,2440b_00000,098827bb2a7646be81f212a5dad76f17,2022-04-10_12-01-17,1649606477,133.95001888275146,13685,Cdots-Grand-Mesa,172.28.171.47,133.95001888275146,0,10,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-10_11-59-02"
1,10,3.5911483036147223,0.1585069444444444,0.3078125,3.678613924980164,0.1354090073529411,0.2728975183823529,5.150245428085327,False,,,10,2440b_00001,ab29b39373684de19cf765f78eb9bf9e,2022-04-10_12-02-20,1649606540,59.222283124923706,13688,Cdots-Grand-Mesa,172.28.171.47,59.222283124923706,0,10,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-10_11-59-03"
2,10,2.4873849838338,0.3397606382978723,0.5710771276595744,2.8477648390999324,0.2798655063291139,0.5009889240506329,12.622788429260254,False,,,10,2440b_00002,6a790f78ce494aac9e874903a491efb9,2022-04-10_12-04-38,1649606678,134.50667333602905,13680,Cdots-Grand-Mesa,172.28.171.47,134.50667333602905,0,10,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-10_12-01-20"
3,10,2.5625935991605124,0.3359375,0.5541015625000001,3.2201363801956178,0.2240234375,0.4105928308823529,5.177042245864868,False,,,10,2440b_00003,b27768bc8e2a4e43bcbb206e6b891e05,2022-04-10_12-05-41,1649606741,58.97451663017273,13683,Cdots-Grand-Mesa,172.28.171.47,58.97451663017273,0,10,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-10_12-02-23"
4,10,3.0448870033237108,0.2328235815602836,0.4380097517730496,3.2368429371073275,0.206882911392405,0.3868670886075949,12.641826152801514,False,,,10,2440b_00004,b67fa9412c76457abb3283cc7d2ec791,2022-04-10_12-07-58,1649606878,133.87696743011475,13687,Cdots-Grand-Mesa,172.28.171.47,133.87696743011475,0,10,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-10_12-04-41"
5,10,3.2397996849483914,0.1957682291666666,0.3850477430555555,3.439648520946503,0.1647748161764705,0.3352941176470588,5.179467916488648,False,,,10,2440b_00005,817e25329bb04e49b748b26f33a2b5f8,2022-04-10_12-08-59,1649606939,58.44480109214783,13686,Cdots-Grand-Mesa,172.28.171.47,58.44480109214783,0,10,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-10_12-05-43"
6,10,3.022869500708073,0.2359929078014184,0.4403368794326241,3.212091014355044,0.204509493670886,0.3931962025316455,16.863252878189087,False,,,10,2440b_00006,241c03add9c34f199b2144f4cd81e117,2022-04-10_12-11-54,1649607114,171.32276320457458,13675,Cdots-Grand-Mesa,172.28.171.47,171.32276320457458,0,10,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-10_12-08-00"
7,10,2.880811744266086,0.2651258680555555,0.4805772569444444,3.13109610080719,0.2157284007352941,0.4192670036764706,5.26329517364502,False,,,10,2440b_00007,c93c83267a8a4116b2aa3fce40140ee7,2022-04-10_12-12-57,1649607177,59.84230422973633,13681,Cdots-Grand-Mesa,172.28.171.47,59.84230422973633,0,10,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-10_12-09-02"
8,10,3.710023994986893,0.1236923758865248,0.2601950354609929,3.746009217032904,0.1180775316455696,0.2545490506329114,16.279630661010742,False,,,10,2440b_00008,2a1d1e16e49647ad8b806461463e3eb8,2022-04-10_12-15-52,1649607352,171.19185280799866,13684,Cdots-Grand-Mesa,172.28.171.47,171.19185280799866,0,10,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-10_12-11-57"
9,9,3.7480451928244696,0.1123263888888888,0.2406467013888889,3.8800157070159913,0.090625,0.2113970588235293,5.253493070602417,False,,,9,2440b_00009,ace24a1d1952456a847b4181618a3f16,2022-04-10_12-16-50,1649607410,55.34798526763916,13682,Cdots-Grand-Mesa,172.28.171.47,55.34798526763916,0,9,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-10_12-13-00"
10,2,4.48828418204125,0.01875,0.059552304964539,5.375625405130507,0.0227452531645569,0.0644778481012658,15.991989850997925,False,,,2,2440b_00010,2153ed6ed81a4f899cefe865e413d84a,2022-04-10_12-17-37,1649607457,38.784093618392944,13676,Cdots-Grand-Mesa,172.28.171.47,38.784093618392944,0,2,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649606342/DEFAULT_2022-04-10_11-59-02/DEFAULT_2440b_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-10_12-15-54"
