,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,100,0.01750987,0.998934659,1,1.283416595,0.264636,0.871439873,56.18155861,FALSE,,,96,f25e5_00000,c9c1f60b400f47beb72b389c8883672e,2022-04-08_20-17-05,1649463425,5341.833391,24951,Cdots-Grand-Mesa,172.28.171.47,5341.833391,0,96,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_18-48-02"
1,100,0.188910266,0.957679332,0.996487038,1.480861026,0.200345,0.818841912,21.48995113,FALSE,,,83,f25e5_00001,b06234505f54422586ce0ac0137bddbe,2022-04-08_20-50-53,1649465453,1799.640125,24955,Cdots-Grand-Mesa,172.28.171.47,1799.640125,0,83,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_18-48-03"
2,100,0.074474546,0.982776989,0.999001243,1.316652786,0.330696,0.862341772,55.21395969,FALSE,,,92,f25e5_00002,8e974c30ae724138a2dba09960a47540,2022-04-08_22-23-02,1649470982,5157.396477,24954,Cdots-Grand-Mesa,172.28.171.47,5157.396477,0,92,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_20-20-49"
3,100,0.009915158,0.999588068,1,1.169854906,0.272243,0.875758272,21.49039817,FALSE,,,93,f25e5_00003,f33d0f28af9c4e45b057d1d3faf1c3ed,2022-04-08_23-04-17,1649473457,2021.615067,24958,Cdots-Grand-Mesa,172.28.171.47,2021.615067,0,93,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_20-57-01"
4,100,1.037622212,0.697998047,0.879794034,1.453022163,0.278877,0.809731013,55.44675708,FALSE,,,94,f25e5_00004,55368e5b38454f218f86b7ef7682f5cb,2022-04-09_00-35-26,1649478926,5312.000787,24953,Cdots-Grand-Mesa,172.28.171.47,5312.000787,0,94,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_22-30-32"
5,100,0.167783574,0.951246449,0.996071555,1.508795774,0.29506,0.824115349,21.42880106,FALSE,,,99,f25e5_00005,d626f0b635b9471eb0e1ad230953bc08,2022-04-09_01-17-02,1649481422,2147.854968,24950,Cdots-Grand-Mesa,172.28.171.47,2147.854968,0,99,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_23-06-50"
6,100,0.685844176,0.788884943,0.937721946,1.197572238,0.303797,0.85403481,77.04318547,FALSE,,,89,f25e5_00006,4b0f84d3e75b49a88728726676af24ab,2022-04-09_03-09-39,1649488179,6728.377136,24946,Cdots-Grand-Mesa,172.28.171.47,6728.377136,0,89,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_00-41-10"
7,100,0.209105915,0.936687678,0.992961648,1.35336585,0.314097,0.850608915,21.81638956,FALSE,,,98,f25e5_00007,df9e1f32e2e1451ea0840eabcfec98cb,2022-04-09_04-00-04,1649491204,2172.387746,24943,Cdots-Grand-Mesa,172.28.171.47,2172.387746,0,98,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_01-17-27"
8,100,2.860585477,0.277476918,0.482843572,2.913611945,0.118473,0.460443038,74.3985796,FALSE,,,82,f25e5_00008,4fbe79825d214a829b1f11c23c7ffa02,2022-04-09_05-44-27,1649497467,6212.503342,24948,Cdots-Grand-Mesa,172.28.171.47,6212.503342,0,82,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_03-23-46"
9,100,2.045659287,0.447752131,0.672776989,2.203468847,0.149586,0.639832261,21.65683603,FALSE,,,99,f25e5_00009,245340e75751498caa33a8ede1615c34,2022-04-09_06-43-07,1649500987,2162.035529,24952,Cdots-Grand-Mesa,172.28.171.47,2162.035529,0,99,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_04-00-51"
10,100,4.246863084,0.039484197,0.108065518,4.472156289,0.0112737,0.106803797,74.73533607,FALSE,,,83,f25e5_00010,04971fa7e1804b6f823c587fb34997f1,2022-04-09_08-28-16,1649507296,6281.810981,24945,Cdots-Grand-Mesa,172.28.171.47,6281.810981,0,83,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_06-07-01"
11,100,3.879292156,0.093600852,0.213109908,4.153401303,0.0188534,0.182513787,22.00104165,FALSE,,,86,f25e5_00011,ad4d1247bac4436d86df82b24531cb50,2022-04-09_09-21-16,1649510476,1900.444866,24949,Cdots-Grand-Mesa,172.28.171.47,1900.444866,0,86,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_06-43-31"
12,100,0.01750987,0.998934659,1,1.283416595,0.264636,0.871439873,55.2472291,FALSE,,,96,f25e5_00012,96930f51fc324e848976c6a1c940f0b9,2022-04-09_10-57-07,1649516227,5438.40426,24941,Cdots-Grand-Mesa,172.28.171.47,5438.40426,0,96,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00012_12_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-09_08-49-31"
13,100,0.188910266,0.957679332,0.996487038,1.480861026,0.200345,0.818841912,21.6996069,FALSE,,,83,f25e5_00013,255d06fc02754d69a52ffc3412177206,2022-04-09_11-31-02,1649518262,1803.863842,24944,Cdots-Grand-Mesa,172.28.171.47,1803.863842,0,83,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00013_13_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-09_09-26-25"
14,100,0.074474546,0.982776989,0.999001243,1.316652786,0.330696,0.862341772,56.06755114,FALSE,,,92,f25e5_00014,017cd94b457f4067a6fcc60988cb1b83,2022-04-09_13-03-54,1649523834,5199.438504,24947,Cdots-Grand-Mesa,172.28.171.47,5199.438504,0,92,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-09_11-00-54"
15,100,0.009915158,0.999588068,1,1.169854906,0.272243,0.875758272,21.46925187,FALSE,,,93,f25e5_00015,d22df970c01241acb41d4bddff8f77fd,2022-04-09_13-45-15,1649526315,2019.433034,24942,Cdots-Grand-Mesa,172.28.171.47,2019.433034,0,93,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-09_11-37-10"
