,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,96,0.0175098697588757,0.9989346590909092,1.0,1.283416594508328,0.7041139240506329,0.8714398734177216,56.18155860900879,False,,,96,f25e5_00000,c9c1f60b400f47beb72b389c8883672e,2022-04-08_20-17-05,1649463425,5341.833391427994,24951,Cdots-Grand-Mesa,172.28.171.47,5341.833391427994,0,96,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_18-48-02"
1,83,0.1889102662998167,0.9576793323863636,0.9964870383522728,1.4808610260486603,0.6390050551470587,0.8188419117647058,21.489951133728027,False,,,83,f25e5_00001,b06234505f54422586ce0ac0137bddbe,2022-04-08_20-50-53,1649465453,1799.6401252746582,24955,Cdots-Grand-Mesa,172.28.171.47,1799.6401252746582,0,83,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_18-48-03"
2,92,0.0744745462169786,0.9827769886363636,0.9990012428977272,1.3166527861281283,0.7037183544303798,0.8623417721518988,55.21395969390869,False,,,92,f25e5_00002,8e974c30ae724138a2dba09960a47540,2022-04-08_22-23-02,1649470982,5157.3964767456055,24954,Cdots-Grand-Mesa,172.28.171.47,5157.3964767456055,0,92,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_20-20-49"
3,93,0.0099151580758519,0.9995880681818182,1.0,1.1698549062013626,0.72265625,0.8757582720588235,21.490398168563843,False,,,93,f25e5_00003,f33d0f28af9c4e45b057d1d3faf1c3ed,2022-04-08_23-04-17,1649473457,2021.615066766739,24958,Cdots-Grand-Mesa,172.28.171.47,2021.615066766739,0,93,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_20-57-01"
4,94,1.0376222120089964,0.697998046875,0.8797940340909091,1.4530221631255331,0.6028481012658228,0.8097310126582279,55.446757078170776,False,,,94,f25e5_00004,55368e5b38454f218f86b7ef7682f5cb,2022-04-09_00-35-26,1649478926,5312.000787496567,24953,Cdots-Grand-Mesa,172.28.171.47,5312.000787496567,0,94,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_22-30-32"
5,99,0.1677835739048367,0.9512464488636364,0.9960715553977272,1.5087957739830018,0.6529067095588236,0.8241153492647058,21.4288010597229,False,,,99,f25e5_00005,d626f0b635b9471eb0e1ad230953bc08,2022-04-09_01-17-02,1649481422,2147.8549675941467,24950,Cdots-Grand-Mesa,172.28.171.47,2147.8549675941467,0,99,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_23-06-50"
6,89,0.685844175517559,0.7888849431818182,0.9377219460227272,1.197572238083127,0.6693037974683544,0.8540348101265823,77.0431854724884,False,,,89,f25e5_00006,4b0f84d3e75b49a88728726676af24ab,2022-04-09_03-09-39,1649488179,6728.37713599205,24946,Cdots-Grand-Mesa,172.28.171.47,6728.37713599205,0,89,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_00-41-10"
7,98,0.2091059154322878,0.9366876775568184,0.9929616477272728,1.3533658504486084,0.6784466911764706,0.8506089154411764,21.816389560699463,False,,,98,f25e5_00007,df9e1f32e2e1451ea0840eabcfec98cb,2022-04-09_04-00-04,1649491204,2172.3877458572388,24943,Cdots-Grand-Mesa,172.28.171.47,2172.3877458572388,0,98,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_01-17-27"
8,82,2.8605854772031307,0.2774769176136363,0.4828435724431818,2.913611944717697,0.2666139240506329,0.4604430379746835,74.39857959747314,False,,,82,f25e5_00008,4fbe79825d214a829b1f11c23c7ffa02,2022-04-09_05-44-27,1649497467,6212.503341913223,24948,Cdots-Grand-Mesa,172.28.171.47,6212.503341913223,0,82,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_03-23-46"
9,99,2.045659287409349,0.4477521306818181,0.6727769886363636,2.20346884727478,0.4016429227941177,0.6398322610294118,21.65683603286743,False,,,99,f25e5_00009,245340e75751498caa33a8ede1615c34,2022-04-09_06-43-07,1649500987,2162.0355293750763,24952,Cdots-Grand-Mesa,172.28.171.47,2162.0355293750763,0,99,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_04-00-51"
