,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,100,0.0239257206876121,0.999113475177305,1.0,2.7281413938425763,0.4305775316455696,0.638251582278481,12.788497686386108,False,,,100,ee884_00000,4b3fe1f0f2a34c77bb5344c273e10cf5,2022-04-12_17-38-46,1649799526,1287.6083636283877,14082,Cdots-Grand-Mesa,172.28.171.47,1287.6083636283877,0,100,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_17-17-17"
1,88,1.0270277344518235,0.7430121527777778,0.9063802083333334,2.823927426338196,0.3311695772058823,0.5366727941176471,5.21051812171936,False,,,88,ee884_00001,550b4351a9d5413e99d1724d6fa5bafa,2022-04-12_17-46-35,1649799995,466.6790845394135,14091,Cdots-Grand-Mesa,172.28.171.47,466.6790845394135,0,88,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_17-17-18"
2,95,0.0085682551779434,1.0,1.0,2.162696326835246,0.5160205696202531,0.7090585443037974,12.725565671920776,False,,,95,ee884_00002,0a79c218d6f24a3382cae3bb5a597c8d,2022-04-12_18-08-14,1649801294,1232.4773478507996,14088,Cdots-Grand-Mesa,172.28.171.47,1232.4773478507996,0,95,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_17-38-48"
3,87,0.0092618868479298,0.9998914930555556,1.0,2.655355429649353,0.4553653492647059,0.6570886948529412,5.250245809555054,False,,,87,ee884_00003,ab9c37df65b44972adfc8e88ecab2955,2022-04-12_18-17-09,1649801829,465.9756760597229,14090,Cdots-Grand-Mesa,172.28.171.47,465.9756760597229,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_17-47-41"
4,96,0.2205810683733182,0.9402039007092198,0.9937943262411348,2.721938745884956,0.4438291139240506,0.6558544303797469,12.894326210021973,False,,,96,ee884_00004,9c2f5dde166244449d8336d56913c281,2022-04-12_18-39-14,1649803154,1253.450675725937,14093,Cdots-Grand-Mesa,172.28.171.47,1253.450675725937,0,96,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_18-09-22"
5,98,0.0092947786389332,1.0,1.0,2.3403475880622864,0.4684053308823529,0.6595013786764705,5.259454965591431,False,,,98,ee884_00005,02d647b288814b9d90953737a60333f5,2022-04-12_18-48-56,1649803736,526.2876172065735,14085,Cdots-Grand-Mesa,172.28.171.47,526.2876172065735,0,98,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_18-18-20"
6,78,0.2796370734771092,0.9173758865248226,0.9904698581560284,2.6297847221169293,0.4723101265822785,0.6793908227848101,16.34448480606079,False,,,78,ee884_00006,3d97c1c144e04fd983e98186e720380d,2022-04-12_19-11-15,1649805075,1325.0135915279388,14089,Cdots-Grand-Mesa,172.28.171.47,1325.0135915279388,0,78,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_18-40-09"
7,100,0.0607116105448868,0.9900173611111112,0.9995659722222222,2.596044182777405,0.4743106617647059,0.6740349264705883,5.690157890319824,False,,,100,ee884_00007,1d67b4569cc3480697995253fe1e7d31,2022-04-12_19-26-39,1649805999,550.1944210529327,14092,Cdots-Grand-Mesa,172.28.171.47,550.1944210529327,0,100,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_18-49-09"
8,87,3.0371935316856877,0.2436613475177305,0.4365691489361702,3.22668133506292,0.217761075949367,0.3910205696202531,16.74781632423401,False,,,87,ee884_00008,9dedbbc8f79349d7b463bbf69c9fba80,2022-04-12_19-51-22,1649807482,1479.28511595726,14087,Cdots-Grand-Mesa,172.28.171.47,1479.28511595726,0,87,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_19-17-28"
9,100,1.6623924606376224,0.5281032986111112,0.7602647569444445,2.5269426584243773,0.3551011029411764,0.5830997242647059,5.479024887084961,False,,,100,ee884_00009,4e6ca469f34a41fe8e0ea0bfaa9fffc1,2022-04-12_20-04-08,1649808248,542.6638317108154,14081,Cdots-Grand-Mesa,172.28.171.47,542.6638317108154,0,100,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_19-26-42"
10,65,4.245897465563835,0.041511524822695,0.1160239361702127,4.375190819366069,0.0429193037974683,0.1125395569620253,17.317169189453125,False,,,65,ee884_00010,c28a11d5039e4ba7958ac56c71de2ba0,2022-04-12_20-22-38,1649809358,1106.1475863456726,14083,Cdots-Grand-Mesa,172.28.171.47,1106.1475863456726,0,65,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_19-55-05"
11,49,4.058627737892999,0.0639756944444444,0.1558810763888888,4.191235828399658,0.0543543198529411,0.1263442095588235,5.356975793838501,False,,,49,ee884_00011,66701385499542c792339c3cad59cae1,2022-04-12_20-37-12,1649810232,276.556423664093,14078,Cdots-Grand-Mesa,172.28.171.47,276.556423664093,0,49,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649798237/DEFAULT_2022-04-12_17-17-17/DEFAULT_ee884_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_20-04-11"
