,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,10,2.914493811045978,0.2788563829787234,0.4768838652482269,3.2191818514956703,0.2047072784810126,0.4009098101265823,12.744499206542969,False,,,10,7a444_00000,fdf23930e0b744aa9328e8ba9a4175d6,2022-04-13_20-28-29,1649896109,140.63343238830566,14873,Cdots-Grand-Mesa,172.28.171.47,140.63343238830566,0,10,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_20-26-07"
1,10,3.5749014880922108,0.1585720486111111,0.3096571180555555,3.6595779418945313,0.1440487132352941,0.2773207720588235,5.139243125915527,False,,,10,7a444_00001,5bca536a6cdf43659bdbc075b0475589,2022-04-13_20-29-32,1649896172,58.40388631820679,14888,Cdots-Grand-Mesa,172.28.171.47,58.40388631820679,0,10,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_20-26-08"
2,9,2.6130989544780543,0.3242242907801418,0.5412677304964538,2.8728746673728844,0.2652294303797468,0.485759493670886,13.388211727142334,False,,,9,7a444_00002,54ea7c2983e844a58de7a16d7f607b9a,2022-04-13_20-31-40,1649896300,125.27446103096008,14880,Cdots-Grand-Mesa,172.28.171.47,125.27446103096008,0,9,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_20-28-32"
3,10,2.59776261779997,0.3235243055555555,0.5453559027777778,3.106773674488068,0.2345128676470588,0.4263901654411764,5.226745128631592,False,,,10,7a444_00003,7be7cb91e12e4efaac24a7e82beb182d,2022-04-13_20-32-56,1649896376,58.90311288833618,14875,Cdots-Grand-Mesa,172.28.171.47,58.90311288833618,0,10,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_20-29-34"
4,8,3.3767949520273413,0.1764406028368794,0.3539228723404256,3.450740358497523,0.1675237341772152,0.3350474683544304,12.89215874671936,False,,,8,7a444_00004,5cef1d0043664fada3486f5b82f9062c,2022-04-13_20-34-51,1649896491,111.77417922019958,14885,Cdots-Grand-Mesa,172.28.171.47,111.77417922019958,0,8,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_20-31-56"
5,8,3.3779569798045688,0.1748046875,0.3471571180555555,3.4817613840103148,0.1621553308823529,0.3199563419117647,5.312561750411987,False,,,8,7a444_00005,f705147a6e214ed68ab618a01d40e4f0,2022-04-13_20-36-10,1649896570,49.28013515472412,14887,Cdots-Grand-Mesa,172.28.171.47,49.28013515472412,0,8,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_20-32-58"
6,10,3.006917158762614,0.2404255319148936,0.4460771276595744,3.211433392536791,0.1999604430379747,0.3955696202531645,16.805214166641235,False,,,10,7a444_00006,1bb81181cbe7435bbc88a7de55f8e66e,2022-04-13_20-39-21,1649896761,177.7231273651123,14881,Cdots-Grand-Mesa,172.28.171.47,177.7231273651123,0,10,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_20-35-20"
7,10,2.7984303302235074,0.2780164930555555,0.4912109375,3.27435542345047,0.2089958639705882,0.3920840992647059,5.293211221694946,False,,,10,7a444_00007,148790cb9e63413a99f65a0d54791924,2022-04-13_20-40-25,1649896825,60.376633167266846,14874,Cdots-Grand-Mesa,172.28.171.47,60.376633167266846,0,10,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_20-36-23"
8,8,3.7763161405603936,0.1151817375886525,0.2467198581560283,3.8427806172189833,0.1024525316455696,0.2246835443037974,16.627041578292847,False,,,8,7a444_00008,60005e49eae345a5a46145bbe6bece83,2022-04-13_20-42-51,1649896971,142.20012283325195,14886,Cdots-Grand-Mesa,172.28.171.47,142.20012283325195,0,8,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_20-39-24"
9,9,3.7874037093586392,0.1057725694444444,0.2386935763888889,3.9257628202438353,0.0799402573529411,0.2100068933823529,5.263480186462402,False,,,9,7a444_00009,e75ae26cfd454f079059f82579a9215f,2022-04-13_20-44-23,1649897063,54.77223491668701,14879,Cdots-Grand-Mesa,172.28.171.47,54.77223491668701,0,9,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649895967/DEFAULT_2022-04-13_20-26-07/DEFAULT_7a444_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_20-40-28"
