,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,100,0.0181992224926221,0.999224290780142,1.0,2.929557966280587,0.4048655063291139,0.6044303797468354,12.595714330673218,False,,,100,4ede7_00000,dc6f844cb1bb46c38b8887a2a1e098ff,2022-04-07_23-02-15,1649386935,1281.4552793502808,3086,Cdots-Grand-Mesa,172.28.171.47,1281.4552793502808,0,100,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_22-40-53"
1,95,0.6733010179466672,0.8562065972222223,0.9594835069444444,2.9631233692169188,0.3208409926470588,0.5162454044117647,5.180631875991821,False,,,95,4ede7_00001,cb85f92822aa4662b9da3b813552845e,2022-04-07_23-10-40,1649387440,501.3686852455139,3078,Cdots-Grand-Mesa,172.28.171.47,501.3686852455139,0,95,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_22-40-53"
2,100,0.0086768107746351,0.9997783687943262,1.0,2.2695188809044757,0.4883306962025316,0.6811708860759493,12.724803686141968,False,,,100,4ede7_00002,f719d90c4fc54f4892ded39d136697ff,2022-04-07_23-32-34,1649388754,1285.4891321659088,3089,Cdots-Grand-Mesa,172.28.171.47,1285.4891321659088,0,100,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_23-02-17"
3,87,0.0102836230071261,0.9997829861111112,1.0,2.8502774238586426,0.4227711397058823,0.6166704963235294,5.221182584762573,False,,,87,4ede7_00003,30ade90ad935406a9c16484d62eccf60,2022-04-07_23-40-23,1649389223,464.8263869285584,3090,Cdots-Grand-Mesa,172.28.171.47,464.8263869285584,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_23-11-08"
4,99,0.1786579650872988,0.9539450354609929,0.9955673758865248,3.043704711938206,0.4032832278481013,0.5994857594936709,12.64947772026062,False,,,99,4ede7_00004,1af71ad89eb249d292a7411dab9f329e,2022-04-08_00-02-53,1649390573,1278.0532472133636,3084,Cdots-Grand-Mesa,172.28.171.47,1278.0532472133636,0,99,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_23-32-37"
5,96,0.0096078563300478,0.9997829861111112,1.0,2.4224366545677185,0.4470818014705882,0.6455078125,5.412882089614868,False,,,96,4ede7_00005,6ca362e113934f82b5296bef40e2affa,2022-04-08_00-11-40,1649391100,510.6385726928711,3080,Cdots-Grand-Mesa,172.28.171.47,510.6385726928711,0,96,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_23-41-34"
6,100,0.1423790264108502,0.967043439716312,0.9973404255319148,2.7892189403123493,0.4414556962025316,0.646756329113924,16.671101570129395,False,,,100,4ede7_00006,99c78f9119e040d4a00755ab4f7d7c5a,2022-04-08_00-39-51,1649392791,1666.6165215969086,3085,Cdots-Grand-Mesa,172.28.171.47,1666.6165215969086,0,100,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_00-03-09"
7,88,0.0547031059654222,0.9916015625,0.9990885416666668,2.699679708480835,0.4526309742647059,0.6504710477941177,5.3516504764556885,False,,,88,4ede7_00007,f27ab76e97194e6090475f297d9b31d4,2022-04-08_00-47-55,1649393275,480.1089730262756,3076,Cdots-Grand-Mesa,172.28.171.47,480.1089730262756,0,88,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_00-12-04"
8,99,2.914965725959616,0.268218085106383,0.4673758865248227,3.1887047743495507,0.2191455696202531,0.4032832278481013,17.062750816345215,False,,,99,4ede7_00008,af18b199920a45fa960d178298b58bf1,2022-04-08_01-16-40,1649395000,1656.7107906341553,3073,Cdots-Grand-Mesa,172.28.171.47,1656.7107906341553,0,99,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-08_00-39-54"
9,98,1.799400485224194,0.4997829861111111,0.7320312499999999,2.815481758117676,0.3108685661764706,0.5243910845588236,5.288401365280151,False,,,98,4ede7_00009,8e5ef25ef8d04b1588ea5d109657b678,2022-04-08_01-25-49,1649395549,528.3744835853577,3077,Cdots-Grand-Mesa,172.28.171.47,528.3744835853577,0,98,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-08_00-49-02"
