,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
2,100,0.008676810775,0.9997783688,1,2.269518881,0.4883306962,0.6811708861,12.72480369,FALSE,,,100,4ede7_00002,f719d90c4fc54f4892ded39d136697ff,2022-04-07_23-32-34,1649388754,1285.489132,3089,Cdots-Grand-Mesa,172.28.171.47,1285.489132,0,100,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_23-02-17"
14,100,0.008676810775,0.9997783688,1,2.269518881,0.4883306962,0.6811708861,12.9372797,FALSE,,,100,4ede7_00014,0aa86f19d29e484ba369d42a980e0bdb,2022-04-08_02-54-55,1649400895,1282.391389,3083,Cdots-Grand-Mesa,172.28.171.47,1282.391389,0,100,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_02-24-30"
7,88,0.05470310597,0.9916015625,0.9990885417,2.699679708,0.4526309743,0.6504710478,5.351650476,FALSE,,,88,4ede7_00007,f27ab76e97194e6090475f297d9b31d4,2022-04-08_00-47-55,1649393275,480.108973,3076,Cdots-Grand-Mesa,172.28.171.47,480.108973,0,88,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_00-12-04"
19,88,0.05470310597,0.9916015625,0.9990885417,2.699679708,0.4526309743,0.6504710478,5.422718525,FALSE,,,88,4ede7_00019,49dd05fb0a17444ba73875717f845d8c,2022-04-08_04-10-42,1649405442,487.8067913,4020,Cdots-Grand-Mesa,172.28.171.47,487.8067913,0,88,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00019_19_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_03-34-44"
5,96,0.00960785633,0.9997829861,1,2.422436655,0.4470818015,0.6455078125,5.41288209,FALSE,,,96,4ede7_00005,6ca362e113934f82b5296bef40e2affa,2022-04-08_00-11-40,1649391100,510.6385727,3080,Cdots-Grand-Mesa,172.28.171.47,510.6385727,0,96,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_23-41-34"
17,96,0.00960785633,0.9997829861,1,2.422436655,0.4470818015,0.6455078125,5.313959122,FALSE,,,96,4ede7_00017,a8da23ff9050428299e32cabccd722f6,2022-04-08_03-34-19,1649403259,518.7946715,2383,Cdots-Grand-Mesa,172.28.171.47,518.7946715,0,96,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00017_17_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_03-04-01"
6,100,0.1423790264,0.9670434397,0.9973404255,2.78921894,0.4414556962,0.6467563291,16.67110157,FALSE,,,100,4ede7_00006,99c78f9119e040d4a00755ab4f7d7c5a,2022-04-08_00-39-51,1649392791,1666.616522,3085,Cdots-Grand-Mesa,172.28.171.47,1666.616522,0,100,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_00-03-09"
18,100,0.1423790264,0.9670434397,0.9973404255,2.78921894,0.4414556962,0.6467563291,16.24851084,FALSE,,,100,4ede7_00018,e7242b55427446ff948f7c2778b32a9f,2022-04-08_04-02-30,1649404950,1665.530885,18570,Cdots-Grand-Mesa,172.28.171.47,1665.530885,0,100,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00018_18_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_03-25-40"
3,87,0.01028362301,0.9997829861,1,2.850277424,0.4227711397,0.6166704963,5.221182585,FALSE,,,87,4ede7_00003,30ade90ad935406a9c16484d62eccf60,2022-04-07_23-40-23,1649389223,464.8263869,3090,Cdots-Grand-Mesa,172.28.171.47,464.8263869,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_23-11-08"
15,87,0.01028362301,0.9997829861,1,2.850277424,0.4227711397,0.6166704963,5.266187191,FALSE,,,87,4ede7_00015,894d24872ce940489c67690e43d50b21,2022-04-08_03-02-48,1649401368,470.6133704,3074,Cdots-Grand-Mesa,172.28.171.47,470.6133704,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_02-33-32"
